Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-10-24 08:32:12,false,"Chicago Running","6.15","753","00:49:50","163","176","3.6","159","167","8:07","5:43","164","157","1.24","8.1","10.1","283","8:10","385","0.0","380","588","--","7,884","--","No","00:01:04.7","7","--","00:49:48","00:49:50","582","648"
Running,2024-10-22 08:02:27,false,"Chicago Running","6.07","718","00:48:13","160","176","3.5","159","167","7:57","3:44","151","121","1.24","8.1","10.1","283","8:08","397","0.0","389","868","--","7,648","--","No","00:00:25.9","7","--","00:48:11","00:48:13","579","638"
Running,2024-10-20 10:36:47,false,"Chicago Running","13.53","1,712","01:56:04","170","185","4.6","157","169","8:35","6:07","203","187","1.19","8.4","10.0","289","8:35","370","0.0","365","550","--","18,190","--","No","00:04:29.9","14","--","01:55:49","01:56:04","577","644"
Running,2024-10-17 08:35:23,false,"Chicago Running","4.34","533","00:35:01","163","172","3.3","159","170","8:04","1:35","118","105","1.25","8.1","10.0","281","7:56","512","0.0","397","3,287","--","5,582","--","No","00:02:44.0","5","--","00:34:55","00:35:01","575","643"
Running,2024-10-13 08:17:32,false,"Chicago Running","26.77","3,262","04:16:51","163","172","5.0","153","167","9:36","5:19","226","243","1.08","8.5","9.3","295","9:38","332","0.0","317","648","--","39,424","--","No","00:07:56.4","27","--","04:16:44","04:16:51","585","650"
Running,2024-10-10 07:46:09,false,"Chicago Running","4.51","566","00:36:38","165","176","3.4","161","222","8:07","4:55","144","144","1.24","8.1","9.9","279","8:06","396","0.0","385","690","--","5,860","--","No","00:04:01.7","5","--","00:36:36","00:36:38","578","638"
Running,2024-10-08 08:00:18,false,"Chicago Running","3.57","437","00:28:50","160","169","3.1","159","169","8:05","4:12","144","128","1.24","8.1","9.9","279","8:07","397","0.0","385","693","--","4,576","--","No","00:04:44.7","4","--","00:28:40","00:28:50","608","653"
Running,2024-10-06 09:45:20,false,"Chicago Running","12.07","1,475","01:42:38","163","173","4.3","159","167","8:30","6:27","190","187","1.19","8.3","9.8","284","8:32","371","0.0","366","572","--","16,338","--","No","00:00:32.2","13","--","01:42:04","01:42:38","585","644"
Running,2024-10-05 11:55:12,false,"Chicago Running","3.76","461","00:30:32","161","172","3.2","157","167","8:07","5:54","112","115","1.26","8.1","10.2","282","8:04","402","0.0","394","643","--","4,800","--","No","00:06:15.0","4","--","00:30:20","00:30:32","588","646"
Running,2024-10-03 08:16:47,false,"Chicago Running","6.89","850","00:55:27","167","180","3.8","160","167","8:03","4:42","184","164","1.24","8.1","10.1","281","8:07","390","0.0","383","638","--","8,848","--","No","00:06:59.4","7","--","00:55:21","00:55:27","572","642"
Running,2024-10-01 08:06:09,false,"Chicago Running","6.11","745","00:50:04","163","173","3.5","159","169","8:12","4:01","197","210","1.22","8.2","9.9","281","8:16","382","0.0","373","815","--","7,972","--","No","00:00:48.0","7","--","00:50:02","00:50:35","576","662"
